long,lat,id,nombre,anio_de_in,tipo,cantidad,ubicacion,clasificac,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3706437896376,-34.6158029798873,274,TEATRO MOLIERE,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CHILE AV.,0,BALCARCE,Monserrat,Comuna 1,,
-58.3614467516408,-34.6392158337487,275,TEATRO DE LA RIBERA,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,DON PEDRO DE MENDOZA AV.,1875,,La Boca,Comuna 4,1169,C1169AAC
-58.4095679613246,-34.6058685696783,276,PANAL 361,2018,1U,4,Via Publica/ Internos,Centro Cultural Abasto,"JAURES, JEAN",361,,Balvanera,Comuna 3,1215,C1215ACE
-58.3875678890539,-34.6087992626615,278,TEATRO MAIPO,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,RIVADAVIA AV.,1499,,San Nicolas,Comuna 1,1033,C1033AAE
-58.3740487727341,-34.5996395109388,279,MONASTERIO DE SANTA CATALINA DE SIENA,2013,4U,1,INTERIOR,EDIFICIOS CULTURALES,SAN MARTIN,705,,San Nicolas,Comuna 1,1004,C1004AAO
-58.3886349298105,-34.605368582464,280,CENTRO CULTURAL SAN MARTIN,2013,4U,3,INTERIOR,EDIFICIOS CULTURALES,SARMIENTO,1551,,San Nicolas,Comuna 1,1042,C1042ABC
-58.4432837992596,-34.5958705191839,281,SECRETARIA NACIONAL DE JUSTICIA- REG. NAC. DE LA PROP. AUTOMOTOR,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,CORRIENTES AV.,5666,,Villa Crespo,Comuna 15,1414,C1414AJW
-58.3756750687149,-34.6087630450042,282,CONSEJO DE LA MAJISTRATURA,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,DE MAYO AV.,654,,Monserrat,Comuna 1,1084,C1084AAO
-58.3682677673338,-34.6232662314798,283,MINISTERIO PUBLICO FISCAL,2013,4U,1,INTERIOR,EDIFICIOS PUBLICOS,PASEO COLON AV.,1333,,San Telmo,Comuna 1,1063,C1063ADA
-58.3682677673338,-34.6232662314798,284,MINISTERIO PUBLICO FISCAL,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,PASEO COLON AV.,1333,,San Telmo,Comuna 1,1063,C1063ADA
-58.4328649895276,-34.6056667404593,285,CGPC 6,2013,4U,2,VIA PUBLICA,EDIFICIOS PUBLICOS,PATRICIAS ARGENTINAS AV.,277,,Caballito,Comuna 6,1405,C1405BWC
-58.4412738737987,-34.5870009015858,286,SEDE COMUNA 15,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,CORDOBA AV.,5690,,Chacarita,Comuna 15,1414,C1414BBP
-58.3707196272076,-34.6156041281279,287,MINISTERIO DE DEFENSA DE LA CIUDAD,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,BALCARCE,677,,Monserrat,Comuna 1,1064,C1064AAM
-58.4094207754476,-34.5872370120878,288,CGPC 14,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,BERUTI,3325,,Palermo,Comuna 14,1425,C1425BBQ
-58.4512589321183,-34.6314791299834,289,DG MUSICA,2013,4U,2,VIA PUBLICA,EDIFICIOS PUBLICOS,CURAPALIGUE,585,,Parque Chacabuco,Comuna 7,1406,C1406DAF
-58.4247749654941,-34.6503488708362,290,CGPC 4,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,BARCO CENTENERA DEL,2906,,Nueva Pompeya,Comuna 4,1437,C1437ACO
-58.4417128115454,-34.5800347809835,291,DISTRITO AUDIOVISUAL,2013,4U,3,INTERIOR,EDIFICIOS PUBLICOS,DORREGO,1898,,Colegiales,Comuna 13,1414,C1414CLN
-58.4411517713809,-34.6321050927387,292,SUB SEDE CGPC 6,2013,4U,1,INTERIOR,EDIFICIOS PUBLICOS,"MITRE, EMILIO",956,,Parque Chacabuco,Comuna 7,1424,C1424AYT
